PAŃSTWO;MIEJSCOWOŚĆ;ULICA;NUMER;KOD 
Polska;Lublin;ul. Czeska;1a;20-564
Polska;Lublin;ul. Czeska;55c;20-570
Polska;Lublin;ul. Czeska;24c;20-571
Polska;Lublin;ul. Czeska;8;20-572
Polska;Lublin;ul. Czeska;29;20-573
Polska;Lublin;ul. Czeska;83;20-574
Polska;Lublin;ul. Częstochowska;58;20-575
Polska;Lublin;ul. Częstochowska;23c;20-576
Polska;Lublin;ul. Częstochowska;43;20-577
Polska;Lublin;ul. Częstochowska;55;20-578
Polska;Lublin;ul. Częstochowska;30;20-579
Polska;Lublin;ul. Częstochowska;58b;20-579
Polska;Lublin;ul. Częstochowska;99;20-580
Polska;Lublin;ul. Częstochowska;79a;20-581
Polska;Lublin;ul. Częstochowska;4a;20-590
Polska;Lublin;ul. Częstochowska;94;20-601
Polska;Lublin;ul. Częstochowska;92a;20-601
Polska;Lublin;ul. Częstochowska;19;20-601
Polska;Lublin;ul. Częstochowska;46a;20-601
Polska;Lublin;ul. Częstochowska;75a;20-602
Polska;Lublin;ul. Częstochowska;23b;20-603
Polska;Lublin;ul. Częstochowska;13;20-603
Polska;Lublin;ul. Częstochowska;68;20-604
Polska;Lublin;ul. Częstochowska;48;20-605
Polska;Lublin;ul. Częstochowska;43;20-606
Polska;Lublin;ul. Częstochowska;74c;20-607
Polska;Lublin;ul. Częstochowska;40;20-607
Polska;Lublin;ul. Częstochowska;56;20-608
Polska;Lublin;ul. Częstochowska;2;20-609
Polska;Lublin;ul. Częstochowska;55;20-609
Polska;Lublin;ul. Częstochowska;41;20-609
Polska;Lublin;ul. Częstochowska;95;20-609
Polska;Lublin;ul. Częstochowska;89c;20-610
Polska;Lublin;ul. Częstochowska;85;20-610
Polska;Lublin;ul. Częstochowska;89;20-610
Polska;Lublin;ul. Częstochowska;63;20-610
Polska;Lublin;ul. Częstochowska;5c;20-611
Polska;Lublin;ul. Częstochowska;67;20-611
Polska;Lublin;ul. Częstochowska;95;20-611
Polska;Lublin;ul. Częstochowska;70c;20-611
Polska;Lublin;ul. Częstochowska;47;20-612
Polska;Lublin;ul. Częstochowska;46;20-612
Polska;Lublin;ul. Częstochowska;93;20-612
Polska;Lublin;ul. Częstochowska;90;20-612
Polska;Lublin;ul. Częstochowska;18;20-613
Polska;Lublin;ul. Częstochowska;3;20-614
Polska;Lublin;ul. Częstochowska;60;20-615
Polska;Lublin;ul. Częstochowska;62;20-616
Polska;Lublin;ul. Częstochowska;71;20-617
Polska;Lublin;ul. Częstochowska;99;20-617
Polska;Lublin;ul. Częstochowska;45a;20-617
Polska;Lublin;ul. Częstochowska;34;20-617
Polska;Lublin;ul. Częstochowska;64;20-618
Polska;Lublin;ul. Częstochowska;71;20-619
Polska;Lublin;ul. Częstochowska;46b;20-620
Polska;Lublin;ul. Częstochowska;62c;20-620
Polska;Lublin;ul. Częstochowska;42b;20-620
Polska;Lublin;ul. Częstochowska;92a;20-621
Polska;Lublin;ul. Częstochowska;43;20-621
Polska;Lublin;ul. Częstochowska;14b;20-621
Polska;Lublin;ul. Częstochowska;68;20-624
Polska;Lublin;ul. Częstochowska;12a;20-625
Polska;Lublin;ul. Częstochowska;45;20-626
Polska;Lublin;ul. Częstochowska;57a;20-627
Polska;Lublin;ul. Częstochowska;100a;20-628
Polska;Lublin;ul. Częstochowska;7;20-629
Polska;Lublin;ul. Częstochowska;83;20-630
Polska;Lublin;ul. Częstochowska;11;20-630
Polska;Lublin;ul. Częstochowska;60a;20-631
Polska;Lublin;ul. Częstochowska;47;20-632
Polska;Lublin;ul. Częstochowska;18;20-633
Polska;Lublin;ul. Częstochowska;32b;20-634
Polska;Lublin;ul. Częstochowska;18;20-635
Polska;Lublin;ul. Jana Czochralskiego;55;20-636
Polska;Lublin;ul. Jana Czochralskiego;76;20-636
Polska;Lublin;ul. Jana Czochralskiego;16;20-637
Polska;Lublin;ul. Jana Czochralskiego;46;20-639
Polska;Lublin;ul. Jana Czochralskiego;20;20-640
Polska;Lublin;ul. Jana Czochralskiego;56b;20-701
Polska;Lublin;ul. Jana Czochralskiego;35c;20-703
Polska;Lublin;ul. Jana Czochralskiego;47;20-703
Polska;Lublin;ul. Czołgistów;49;20-703
Polska;Lublin;ul. Czołgistów;51b;20-703
Polska;Lublin;ul. Czołgistów;34;20-704
Polska;Lublin;ul. Czołgistów;28b;20-704
Polska;Lublin;ul. Czołgistów;75;20-704
Polska;Lublin;ul. Czołgistów;4a;20-704
Polska;Lublin;ul. Czołgistów;31;20-704
Polska;Lublin;ul. Czołgistów;98;20-704
Polska;Lublin;ul. Czołgistów;85a;20-704
Polska;Lublin;ul. Czołgistów;53c;20-704
Polska;Lublin;ul. Czołgistów;92;20-705
Polska;Lublin;ul. Czołgistów;39;20-706
Polska;Lublin;ul. Czołgistów;45;20-706
Polska;Lublin;ul. Czołgistów;26;20-706
Polska;Lublin;ul. Czołgistów;95;20-706
Polska;Lublin;ul. Czołgistów;97;20-706
Polska;Lublin;ul. Czołgistów;7c;20-706
Polska;Lublin;ul. Czołgistów;82;20-706
Polska;Lublin;ul. Czołgistów;82;20-706
Polska;Lublin;ul. Czołgistów;25;20-706
Polska;Lublin;ul. Czołgistów;3;20-707
Polska;Lublin;ul. Czołgistów;23;20-707
Polska;Lublin;ul. Czołgistów;42;20-707
Polska;Lublin;ul. Czołgistów;51;20-707
Polska;Lublin;ul. Czołgistów;65;20-708
Polska;Lublin;ul. Czołgistów;66;20-708
Polska;Lublin;ul. Czołgistów;53;20-708
Polska;Lublin;ul. Czołgistów;87b;20-709
Polska;Lublin;ul. Czołgistów;67;20-709
Polska;Lublin;ul. Czołgistów;89;20-709
Polska;Lublin;ul. Czołgistów;69;20-710
Polska;Lublin;ul. Czołgistów;42c;20-710
Polska;Lublin;ul. Czołgistów;35;20-710
Polska;Lublin;ul. Czołgistów;65;20-710
Polska;Lublin;ul. Czołgistów;73;20-710
Polska;Lublin;ul. Czołgistów;14;20-711
Polska;Lublin;ul. Czołgistów;64b;20-711
Polska;Lublin;ul. Czołgistów;96;20-711
Polska;Lublin;ul. Czołgistów;99;20-711
Polska;Lublin;ul. Czołgistów;97;20-711
Polska;Lublin;ul. Czołgistów;16;20-711
Polska;Lublin;ul. Czołgistów;23;20-712
Polska;Lublin;ul. Czołgistów;48b;20-712
Polska;Lublin;ul. Czołgistów;39;20-712
Polska;Lublin;ul. Czołgistów;89;20-712
Polska;Lublin;ul. Czołgistów;24;20-713
Polska;Lublin;ul. Czołgistów;1;20-713
Polska;Lublin;ul. Czołgistów;65;20-713
Polska;Lublin;ul. Czołgistów;100b;20-714
Polska;Lublin;ul. Czołgistów;17a;20-714
Polska;Lublin;ul. Czorsztyńska;4b;20-714
Polska;Lublin;ul. Czorsztyńska;99;20-715
Polska;Lublin;ul. Czorsztyńska;61;20-715
Polska;Lublin;ul. Czorsztyńska;55;20-715
Polska;Lublin;ul. Czorsztyńska;31;20-716
Polska;Lublin;ul. Czorsztyńska;34;20-716
Polska;Lublin;ul. Czorsztyńska;80b;20-716
Polska;Lublin;ul. Czorsztyńska;95b;20-717
Polska;Lublin;ul. Czorsztyńska;69;20-717
Polska;Lublin;ul. Czorsztyńska;19b;20-718
Polska;Lublin;ul. Czorsztyńska;68;20-719
Polska;Lublin;ul. Czorsztyńska;20a;20-719
Polska;Lublin;ul. Czorsztyńska;23b;20-721
Polska;Lublin;ul. Czorsztyńska;15;20-722
Polska;Lublin;ul. Czorsztyńska;2;20-722
Polska;Lublin;ul. Czorsztyńska;21;20-723
Polska;Lublin;ul. Czorsztyńska;48c;20-723
Polska;Lublin;ul. Czorsztyńska;26;20-723
Polska;Lublin;ul. Czorsztyńska;19b;20-723
Polska;Lublin;ul. Czorsztyńska;51;20-724
Polska;Lublin;ul. Czorsztyńska;94c;20-724
Polska;Lublin;ul. Czorsztyńska;58;20-724
Polska;Lublin;ul. Czorsztyńska;47;20-724
Polska;Lublin;ul. Czorsztyńska;47c;20-725
Polska;Lublin;ul. Czysta;16;20-726
Polska;Lublin;ul. Czysta;30;20-726
Polska;Lublin;ul. Czysta;51b;20-727
Polska;Lublin;ul. Czysta;35;20-728
Polska;Lublin;ul. Czysta;95b;20-728
Polska;Lublin;ul. Czysta;24;20-728
Polska;Lublin;ul. Czytankowa;39b;20-729
Polska;Lublin;ul. Czytankowa;15;20-729
Polska;Lublin;ul. Czytankowa;55;20-729
Polska;Lublin;ul. Czytankowa;2;20-730
Polska;Lublin;ul. Czytankowa;5;20-730
Polska;Lublin;ul. Czytankowa;60;20-730
Polska;Lublin;ul. Czytankowa;24;20-731
Polska;Lublin;ul. Czytankowa;67;20-732
Polska;Lublin;ul. Czytankowa;84a;20-732
Polska;Lublin;ul. Czytankowa;26c;20-732
Polska;Lublin;ul. Czytankowa;25;20-732
Polska;Lublin;ul. Czytankowa;71;20-733
Polska;Lublin;ul. Czytankowa;63;20-734
Polska;Lublin;ul. Czytankowa;40;20-734
Polska;Lublin;ul. Ćwiczebna;65;20-734
Polska;Lublin;ul. Ćwiczebna;91;20-735
Polska;Lublin;ul. Ćwiczebna;70;20-735
Polska;Lublin;ul. Ćwiczebna;77;20-735
Polska;Lublin;ul. Ćwiczebna;38;20-736
Polska;Lublin;ul. Ćwiczebna;38;20-736
Polska;Lublin;ul. Ćwiczebna;95;20-737
Polska;Lublin;ul. Ćwiczebna;79;20-737
Polska;Lublin;ul. Ćwiczebna;44;20-738
Polska;Lublin;ul. Ćwiczebna;84;20-738
Polska;Lublin;ul. Ćwiczebna;31;20-739
Polska;Lublin;ul. Vasco da Gamy;37b;20-739
Polska;Lublin;ul. Vasco da Gamy;99;20-750
Polska;Lublin;ul. Vasco da Gamy;7;20-750
Polska;Lublin;ul. Vasco da Gamy;25b;20-751
Polska;Lublin;ul. Vasco da Gamy;30c;20-780
Polska;Lublin;ul. Vasco da Gamy;25;20-781
Polska;Lublin;ul. Vasco da Gamy;76b;20-781
Polska;Lublin;ul. Vasco da Gamy;43;20-782
Polska;Lublin;ul. Vasco da Gamy;92;20-783
Polska;Lublin;ul. Vasco da Gamy;7;20-783
Polska;Lublin;ul. Daktylowa;4;20-783
Polska;Lublin;ul. Daktylowa;55;20-784
Polska;Lublin;ul. Daktylowa;5;20-784
Polska;Lublin;ul. Daktylowa;82;20-784
Polska;Lublin;ul. Daktylowa;99a;20-785
Polska;Lublin;ul. Daktylowa;92;20-786
Polska;Lublin;ul. Daktylowa;24a;20-786
Polska;Lublin;ul. Daktylowa;53;20-787
Polska;Lublin;ul. Daktylowa;11;20-787
Polska;Lublin;ul. Daktylowa;56a;20-788
Polska;Lublin;ul. Daleka;1c;20-788
Polska;Lublin;ul. Daleka;100c;20-789
Polska;Lublin;ul. Daleka;3c;20-801
Polska;Lublin;ul. Daleka;22b;20-801
Polska;Lublin;ul. Daleka;30;20-801
Polska;Lublin;ul. Daleka;10c;20-802
Polska;Lublin;ul. Daleka;49;20-802
Polska;Lublin;ul. Daleka;62;20-802
Polska;Lublin;ul. Daleka;69;20-802
Polska;Lublin;ul. Daleka;7;20-802
Polska;Lublin;ul. Daleka;53;20-802
Polska;Lublin;ul. Daleka;86;20-802
Polska;Lublin;ul. Daleka;11;20-802
Polska;Lublin;ul. Daleka;44;20-802
Polska;Lublin;ul. Daleka;48;20-803
Polska;Lublin;ul. Dalemińców;37b;20-804
Polska;Lublin;ul. Dalemińców;58;20-804
Polska;Lublin;ul. Dalemińców;98;20-805
Polska;Lublin;ul. Dalemińców;69;20-805
Polska;Lublin;ul. Dalemińców;58a;20-805
Polska;Lublin;ul. Dalemińców;96c;20-805
Polska;Lublin;ul. Dalemińców;78;20-805
Polska;Lublin;ul. Dalemińców;98a;20-806
Polska;Lublin;ul. Dalemińców;38;20-806
Polska;Lublin;ul. Dalemińców;32;20-806
Polska;Lublin;ul. Dalimira;65;20-806
Polska;Lublin;ul. Dalimira;83;20-806
Polska;Lublin;ul. Dalimira;73a;20-806
Polska;Lublin;ul. Dalimira;77;20-806
Polska;Lublin;ul. Dalimira;62;20-806
Polska;Lublin;ul. Dalimira;39b;20-807
Polska;Lublin;ul. Dalimira;63;20-807
Polska;Lublin;ul. Dalimira;12;20-807
Polska;Lublin;ul. Dalimira;31c;20-807
Polska;Lublin;ul. Daliowa;67;20-808
Polska;Lublin;ul. Daliowa;22;20-809
Polska;Lublin;ul. Daliowa;17;20-809
Polska;Lublin;ul. Daliowa;22c;20-809
Polska;Lublin;ul. Daliowa;56;20-809
Polska;Lublin;ul. Daliowa;74b;20-809
Polska;Lublin;ul. Daliowa;35;20-810
Polska;Lublin;ul. Daliowa;18;20-810
Polska;Lublin;ul. Daliowa;83b;20-810
Polska;Lublin;ul. Daliowa;39;20-810
Polska;Lublin;ul. Daliowa;12;20-810
Polska;Lublin;ul. Daliowa;83;20-810
Polska;Lublin;ul. Daliowa;44;20-810
Polska;Lublin;ul. Daliowa;39;20-811
Polska;Lublin;ul. Daliowa;11;20-811
Polska;Lublin;ul. Daliowa;15;20-811
Polska;Lublin;ul. Daliowa;49;20-812
Polska;Lublin;ul. Daliowa;9;20-812
Polska;Lublin;ul. Daliowa;25;20-813
Polska;Lublin;ul. Daliowa;79;20-814
Polska;Lublin;ul. Daliowa;20;20-815
Polska;Lublin;ul. Daliowa;23;20-815
Polska;Lublin;ul. Daliowa;37;20-815
Polska;Lublin;ul. Daliowa;47;20-815
Polska;Lublin;ul. Daliowa;55;20-815
Polska;Lublin;ul. Daliowa;86;20-815
Polska;Lublin;ul. Daliowa;73;20-816
Polska;Lublin;ul. Daliowa;7;20-816
Polska;Lublin;ul. Daliowa;19;20-816
Polska;Lublin;ul. Daliowa;38;20-817
Polska;Lublin;ul. Daliowa;34;20-817
Polska;Lublin;ul. Daliowa;90;20-817
Polska;Lublin;ul. Daliowa;96;20-818
Polska;Lublin;ul. Daliowa;41;20-818
Polska;Lublin;ul. Daliowa;88b;20-818
Polska;Lublin;ul. Daliowa;23;20-818
Polska;Lublin;ul. Daliowa;30;20-819
Polska;Lublin;ul. Daliowa;9;20-819
Polska;Lublin;ul. Daliowa;3;20-819
Polska;Lublin;ul. Daliowa;50;20-819
Polska;Lublin;ul. Daliowa;79;20-819
Polska;Lublin;ul. Daliowa;49;20-819
Polska;Lublin;ul. Daliowa;100;20-819
Polska;Lublin;ul. Daliowa;71a;20-819
Polska;Lublin;ul. Daliowa;48a;20-820
Polska;Lublin;ul. Daliowa;15a;20-820
Polska;Lublin;ul. Daliowa;3;20-822
Polska;Lublin;ul. Daliowa;39;20-823
Polska;Lublin;ul. Daliowa;78;20-824
Polska;Lublin;ul. Daliowa;71;20-825
Polska;Lublin;ul. Daliowa;59;20-825
Polska;Lublin;ul. Daliowa;100;20-825
Polska;Lublin;ul. Daliowa;20;20-826
Polska;Lublin;ul. Daliowa;48c;20-826
Polska;Lublin;ul. Daliowa;11;20-826
Polska;Lublin;ul. Daliowa;92;20-826
Polska;Lublin;ul. Daliowa;62;20-826
Polska;Lublin;ul. Daliowa;8a;20-826
Polska;Lublin;ul. Daliowa;29;20-827
Polska;Lublin;ul. Daliowa;64;20-827
Polska;Lublin;ul. Daliowa;95;20-827
Polska;Lublin;ul. Daliowa;57;20-827
Polska;Lublin;ul. Daliowa;29;20-827
Polska;Lublin;ul. Daliowa;69;20-827
Polska;Lublin;ul. Daliowa;84;20-827
Polska;Lublin;ul. Daliowa;87b;20-827
Polska;Lublin;ul. Daliowa;95a;20-827
Polska;Lublin;ul. Daliowa;100;20-828
Polska;Lublin;ul. Daliowa;31;20-828
Polska;Lublin;ul. Daliowa;82a;20-828
Polska;Lublin;ul. Daliowa;46;20-828
Polska;Lublin;ul. Daliowa;77;20-828
Polska;Lublin;ul. Daliowa;58;20-828
Polska;Lublin;ul. Daliowa;6;20-828
Polska;Lublin;ul. Daliowa;93;20-828
Polska;Lublin;ul. Daliowa;20;20-828
Polska;Lublin;ul. Daliowa;11a;20-828
Polska;Lublin;ul. Daliowa;76a;20-828
Polska;Lublin;ul. Daliowa;30;20-828
Polska;Lublin;ul. Daliowa;51b;20-828
Polska;Lublin;ul. Daliowa;60;20-829
Polska;Lublin;ul. Daliowa;10;20-829
Polska;Lublin;ul. Daliowa;7;20-829
Polska;Lublin;ul. Daliowa;55b;20-829
Polska;Lublin;ul. Daliowa;1;20-829
Polska;Lublin;ul. Daliowa;59;20-829
Polska;Lublin;ul. Daliowa;31;20-829
Polska;Lublin;ul. Daliowa;63c;20-829
Polska;Lublin;ul. Darłowska;92c;20-830
Polska;Lublin;ul. Darłowska;76;20-830
Polska;Lublin;ul. Darłowska;40a;20-830
Polska;Lublin;ul. Darłowska;59;20-830
Polska;Lublin;ul. Darłowska;48;20-830
Polska;Lublin;ul. Darłowska;30b;20-830
Polska;Lublin;ul. Darłowska;21;20-830
Polska;Lublin;ul. Darłowska;10b;20-830
Polska;Lublin;ul. Darłowska;53;20-830
Polska;Lublin;ul. Darłowska;66;20-830
Polska;Lublin;ul. Karola Darwina;30;20-830
Polska;Lublin;ul. Karola Darwina;14c;20-830
Polska;Lublin;ul. Karola Darwina;68b;20-830
Polska;Lublin;ul. Karola Darwina;77;20-830
Polska;Lublin;ul. Karola Darwina;87b;20-830
Polska;Lublin;ul. Karola Darwina;46a;20-830
Polska;Lublin;ul. Karola Darwina;88a;20-831
Polska;Lublin;ul. Karola Darwina;33b;20-832
Polska;Lublin;ul. Karola Darwina;68c;20-832
Polska;Lublin;ul. Karola Darwina;56;20-832
Polska;Lublin;ul. Karola Darwina;18;20-832
Polska;Lublin;ul. Karola Darwina;69b;20-832
Polska;Lublin;ul. Karola Darwina;60;20-833
Polska;Lublin;ul. Karola Darwina;68;20-833
Polska;Lublin;ul. Karola Darwina;18;20-833
Polska;Lublin;ul. Karola Darwina;66;20-833
Polska;Lublin;ul. Karola Darwina;99a;20-834
Polska;Lublin;ul. Karola Darwina;11;20-834
Polska;Lublin;ul. Karola Darwina;23b;20-834
Polska;Lublin;ul. Ignacego Daszyńskiego;95c;20-834
Polska;Lublin;ul. Ignacego Daszyńskiego;44;20-834
Polska;Lublin;ul. Ignacego Daszyńskiego;11b;20-834
Polska;Lublin;ul. Ignacego Daszyńskiego;16c;20-834
Polska;Lublin;ul. Ignacego Daszyńskiego;25c;20-834
Polska;Lublin;ul. Ignacego Daszyńskiego;55;20-834
Polska;Lublin;ul. Ignacego Daszyńskiego;67c;20-834
Polska;Lublin;ul. Ignacego Daszyńskiego;29a;20-834
Polska;Lublin;ul. Ignacego Daszyńskiego;16;20-834
Polska;Lublin;ul. Ignacego Daszyńskiego;69;20-834
Polska;Lublin;ul. Ignacego Daszyńskiego;56b;20-834
Polska;Lublin;ul. Ignacego Daszyńskiego;14;20-834
Polska;Lublin;ul. Ignacego Daszyńskiego;100a;20-834
Polska;Lublin;ul. Ignacego Daszyńskiego;41;20-835
Polska;Lublin;ul. Ignacego Daszyńskiego;41;20-836
Polska;Lublin;ul. Ignacego Daszyńskiego;24;20-837
Polska;Lublin;ul. Ignacego Daszyńskiego;51;20-838
Polska;Lublin;ul. Ignacego Daszyńskiego;61;20-838
Polska;Lublin;ul. Ignacego Daszyńskiego;38;20-839
Polska;Lublin;ul. Ignacego Daszyńskiego;22;20-840
Polska;Lublin;ul. Ignacego Daszyńskiego;20;20-841
Polska;Lublin;ul. Ignacego Daszyńskiego;42a;20-843
Polska;Lublin;ul. Ignacego Daszyńskiego;75;20-843
Polska;Lublin;ul. Ignacego Daszyńskiego;65;20-843
Polska;Lublin;ul. Ignacego Daszyńskiego;54;20-844
Polska;Lublin;ul. Ignacego Daszyńskiego;38;20-844
Polska;Lublin;ul. Ignacego Daszyńskiego;95b;20-844
Polska;Lublin;ul. Ignacego Daszyńskiego;62b;20-845
Polska;Lublin;ul. Ignacego Daszyńskiego;40;20-848
Polska;Lublin;ul. Ignacego Daszyńskiego;43;20-848
Polska;Lublin;ul. Ignacego Daszyńskiego;39;20-849
Polska;Lublin;ul. Ignacego Daszyńskiego;23;20-850
Polska;Lublin;ul. Ignacego Daszyńskiego;58;20-850
Polska;Lublin;ul. Ignacego Daszyńskiego;98c;20-851
Polska;Lublin;ul. Ignacego Daszyńskiego;7;20-853
Polska;Lublin;ul. Ignacego Daszyńskiego;79;20-853
Polska;Lublin;ul. Ignacego Daszyńskiego;88c;20-853
Polska;Lublin;ul. Ignacego Daszyńskiego;81;20-854
Polska;Lublin;ul. Ignacego Daszyńskiego;87;20-854
Polska;Lublin;ul. Ignacego Daszyńskiego;66;20-854
Polska;Lublin;ul. Ignacego Daszyńskiego;13;20-856
Polska;Lublin;ul. Ignacego Daszyńskiego;92;20-857
Polska;Lublin;ul. Ignacego Daszyńskiego;63c;20-857
Polska;Lublin;ul. Ignacego Daszyńskiego;20c;20-858
Polska;Lublin;ul. Ignacego Daszyńskiego;2;20-858
Polska;Lublin;ul. Ignacego Daszyńskiego;43;20-858
Polska;Lublin;ul. Ignacego Daszyńskiego;32;20-859
Polska;Lublin;ul. Ignacego Daszyńskiego;36;20-860
Polska;Lublin;ul. Ignacego Daszyńskiego;75;20-860
Polska;Lublin;ul. Ignacego Daszyńskiego;24b;20-861
Polska;Lublin;ul. Ignacego Daszyńskiego;69;20-861
Polska;Lublin;ul. Ignacego Daszyńskiego;42;20-861
Polska;Lublin;ul. Ignacego Daszyńskiego;90;20-862
Polska;Lublin;ul. Ignacego Daszyńskiego;10;20-862
Polska;Lublin;ul. Ignacego Daszyńskiego;21;20-863
Polska;Lublin;ul. Ignacego Daszyńskiego;92;20-863
Polska;Lublin;ul. Ignacego Daszyńskiego;30;20-864
Polska;Lublin;ul. Ignacego Daszyńskiego;6c;20-864
Polska;Lublin;ul. Ignacego Daszyńskiego;8;20-865
Polska;Lublin;ul. Ignacego Daszyńskiego;40;20-865
Polska;Lublin;ul. Ignacego Daszyńskiego;82a;20-865
Polska;Lublin;ul. Ignacego Daszyńskiego;67;20-866
Polska;Lublin;ul. Ignacego Daszyńskiego;62;20-867
Polska;Lublin;ul. Ignacego Daszyńskiego;94a;20-867
Polska;Lublin;ul. Ignacego Daszyńskiego;57;20-867
Polska;Lublin;ul. Ignacego Daszyńskiego;33;20-868
Polska;Lublin;ul. Ignacego Daszyńskiego;47;20-868
Polska;Lublin;ul. Ignacego Daszyńskiego;16c;20-868
Polska;Lublin;ul. Ignacego Daszyńskiego;87b;20-869
Polska;Lublin;ul. Ignacego Daszyńskiego;47;20-869
Polska;Lublin;ul. Ignacego Daszyńskiego;53a;20-870
Polska;Lublin;ul. Ignacego Daszyńskiego;61;20-870
Polska;Lublin;ul. Ignacego Daszyńskiego;18c;20-871
Polska;Lublin;ul. Ignacego Daszyńskiego;90;20-874
Polska;Lublin;ul. Ignacego Daszyńskiego;18b;20-874
Polska;Lublin;ul. Ignacego Daszyńskiego;6c;20-875
Polska;Lublin;ul. Ignacego Daszyńskiego;82;20-875
Polska;Lublin;ul. Ignacego Daszyńskiego;20;20-880
Polska;Lublin;ul. Ignacego Daszyńskiego;23;20-881
Polska;Lublin;ul. Ignacego Daszyńskiego;68c;20-882
Polska;Lublin;ul. Ignacego Daszyńskiego;51;20-883
Polska;Lublin;ul. Ignacego Daszyńskiego;25b;20-884
Polska;Lublin;ul. Ignacego Daszyńskiego;90;20-900
Polska;Lublin;ul. Ignacego Daszyńskiego;49b;20-940
Polska;Lublin;ul. Ignacego Daszyńskiego;100;20-950
Polska;Lublin;ul. Ignacego Daszyńskiego;9;20-950
Polska;Lublin;ul. Ignacego Daszyńskiego;26;20-950
Polska;Lublin;ul. Ignacego Daszyńskiego;15b;20-950
Polska;Lublin;ul. Ignacego Daszyńskiego;85b;20-950
Polska;Lublin;ul. Ignacego Daszyńskiego;92b;20-951
Polska;Lublin;ul. Ignacego Daszyńskiego;81;20-951
Polska;Lublin;ul. Ignacego Daszyńskiego;43;20-952
Polska;Lublin;ul. Ignacego Daszyńskiego;72;20-952
Polska;Lublin;ul. Jana Władysława Dawida;81;20-952
Polska;Lublin;ul. Jana Władysława Dawida;76;20-953
Polska;Lublin;ul. Jana Władysława Dawida;66a;20-953
Polska;Lublin;ul. Jana Władysława Dawida;56;20-954
Polska;Lublin;ul. Jana Władysława Dawida;64a;20-954
Polska;Lublin;ul. Jana Władysława Dawida;80;20-954
Polska;Lublin;ul. Jana Władysława Dawida;82;20-955
Polska;Lublin;ul. Jana Władysława Dawida;57;20-955
Polska;Lublin;ul. Jana Władysława Dawida;87;20-955
Polska;Lublin;ul. Jana Władysława Dawida;57;20-956
Polska;Lublin;ul. Jana Władysława Dawida;44;20-958
Polska;Lublin;ul. Jana Władysława Dawida;4;20-958
Polska;Lublin;ul. Jana Władysława Dawida;8;20-958
Polska;Lublin;ul. Jana Władysława Dawida;42;20-960
Polska;Lublin;ul. Jana Władysława Dawida;34;20-990
Polska;Jastków;ul. Jana Władysława Dawida;49;21-002
Polska;Ciecierzyn;ul. Jana Władysława Dawida;21;21-003
Polska;Mełgiew;ul. Jana Władysława Dawida;14;21-007
Polska;Łęczna;ul. Marii i Stanisława Dawskich;92;21-010
Polska;Łęczna;ul. Marii i Stanisława Dawskich;98;21-010
Polska;Puchaczów;ul. Marii i Stanisława Dawskich;74;21-013
Polska;Łęczna;ul. Marii i Stanisława Dawskich;60a;21-017
Polska;Milejów;ul. Marii i Stanisława Dawskich;88;21-020
Polska;Niemce;ul. Marii i Stanisława Dawskich;65b;21-025
Polska;Niemce;ul. Marii i Stanisława Dawskich;39;21-025
Polska;Motycz;ul. Marii i Stanisława Dawskich;60;21-030
Polska;Świdnik;ul. Marii Dąbrowskiej;48;21-040
Polska;Świdnik;ul. Marii Dąbrowskiej;94;21-040
Polska;Trawniki;ul. Marii Dąbrowskiej;36;21-044
Polska;Świdnik;ul. Marii Dąbrowskiej;27;21-045
Polska;Świdnik;ul. Marii Dąbrowskiej;21a;21-045
Polska;Świdnik;ul. Dekarska;8;21-046
Polska;Świdnik;ul. Dekarska;66;21-047
Polska;Świdnik;ul. Dekarska;66;21-047
Polska;Piaski;ul. Dekarska;12;21-050
Polska;Fajsławice;ul. Dekarska;89;21-060
Polska;Rybczewice;ul. Dekarska;56;21-065
Polska;Cyców;ul. Dekarska;42;21-070
Polska;Ludwin;ul. Dekarska;27;21-075
Polska;Spiczyn;ul. Dekarska;10b;21-077
Polska;Garbów;ul. Dekarska;36;21-080
Polska;Lubartów;ul. Dekarska;18;21-100
Polska;Lubartów;ul. Dekarska;99;21-100
Polska;Ostrówek;ul. Dekarska;81;21-102
Polska;Niedźwiada;ul. Dekarska;28;21-104
Polska;Serniki;ul. Dekarska;27;21-107
Polska;Lubartów;ul. Dekarska;39c;21-108
Polska;Uścimów;ul. Dekarska;24b;21-109
Polska;Ostrów Lubelski;ul. Dekarska;26;21-110
Polska;Kamionka;ul. Edwarda Dembowskiego;71;21-132
Polska;Firlej;ul. Edwarda Dembowskiego;31;21-136
Polska;Michów;ul. Edwarda Dembowskiego;65;21-140
Polska;Abramów;ul. Edwarda Dembowskiego;67;21-143
Polska;Jeziorzany;ul. Edwarda Dembowskiego;10;21-146
Polska;Kock;ul. Edwarda Dembowskiego;88;21-150
Polska;Parczew;ul. Edwarda Dembowskiego;98;21-200
Polska;Jabłoń;ul. Edwarda Dembowskiego;73;21-205
Polska;Milanów;ul. Edwarda Dembowskiego;47;21-210
Polska;Dębowa Kłoda;ul. Edwarda Dembowskiego;12b;21-211
Polska;Kodeniec;ul. Edwarda Dembowskiego;54;21-213
Polska;Radzyń Podlaski;ul. Edwarda Dembowskiego;74;21-300
Polska;Suchowola;ul. Edwarda Dembowskiego;62;21-305
Polska;Czemierniki;ul. Edwarda Dembowskiego;44;21-306
Polska;Ulan-Majorat;ul. Edwarda Dembowskiego;7;21-307
